:joy: 😂
:unamused: 😒
:weary: 😩
:sob: 😭
:heart_eyes: 😍
:pensive: 😔
:ok_hand: 👌
:blush: 😊
:heart: ❤
:smirk: 😏
:grin: 😁
:notes: 🎶
:flushed: 😳
:100: 💯
:sleeping: 😴
:relieved: 😌
:relaxed: ☺
:raised_hands: 🙌
:two_hearts: 💕
:expressionless: 😑
:sweat_smile: 😅
:pray: 🙏
:confused: 😕
:kissing_heart: 😘
:hearts: ♥
:neutral_face: 😐
:information_desk_person: 💁
:disappointed: 😞
:see_no_evil: 🙈
:tired_face: 😫
:v: ✌
:sunglasses: 😎
:rage: 😡
:thumbsup: 👍
:cry: 😢
:sleepy: 😪
:stuck_out_tongue_winking_eye: 😜
:triumph: 😤
:raised_hand: ✋
:mask: 😷
:clap: 👏
:eyes: 👀
:gun: 🔫
:persevere: 😣
:imp: 😈
:sweat: 😓
:broken_heart: 💔
:blue_heart: 💙
:headphones: 🎧
:speak_no_evil: 🙊
:wink: 😉
:skull: 💀
:confounded: 😖
:smile: 😄
:angry: 😠
:no_good: 🙅
:muscle: 💪
:punch: 👊
:purple_heart: 💜
:sparkling_heart: 💖
:grimacing: 😬
:sparkles: ✨
